slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
park-hills,Park Hills,/park-hills.php,park hills | park hills add | park hills addition | park hills addition second platting | park hills iii,,53,22/12/8/11,4
leawood-west,Leawood West,/leawood-west.php,leawood west | leawood west lot 10 block 7 85 x 125 | leawood west lot 4 block 6 dcn,,51,14/11/14/12,2
eagle-view,Eagle View,/eagle-view.php,eagle view,,51,19/12/6/14,0
liberty,Liberty,/liberty.php,liberty,,51,13/11/9/18,0
green-meadows,Green Meadows,/green-meadows.php,green meadows | green meadows rep 10,,51,20/6/12/13,1
willow-springs,Willow Springs,/willow-springs.php,willow springs,,50,17/10/12/11,0
bennington-lake,Bennington Lake,/bennington-lake.php,bennington lake | bennington lake replat 5 | bennington lake replat 6,,50,13/14/11/12,2
turtle-creek,Turtle Creek,/turtle-creek.php,turtle creek,,50,11/7/14/18,0
pacific-woods,Pacific Woods,/pacific-woods.php,pacific woods | pacific woods replat 1,,50,18/10/8/14,1
mission-ridge,Mission Ridge,/mission-ridge.php,mission ridge,,50,15/14/12/9,0
parkside,Parkside,/parkside.php,parkside,,50,17/12/14/7,0
bridlewood,Bridlewood,/bridlewood.php,bridlewood,,50,18/9/11/12,0
elkhorn-highland-ridge,Elkhorn Highland Ridge,/elkhorn-highland-ridge.php,elkhorn highland ridge | elkhorn highland ridge lot 160 block 73x130,,50,14/12/11/13,1
deer-ridge,Deer Ridge,/deer-ridge.php,deer ridge,,50,7/12/15/16,0
walnut-creek-hills,Walnut Creek Hills,/walnut-creek-hills.php,walnut creek hills | walnut creek hills replat eighteen | walnut creek hills replat six | walnut creek hills replat three,,50,14/12/12/12,3
edgewood,Edgewood,/edgewood.php,edgewood | edgewood add | edgewood addition,,49,12/8/11/18,2
pier-15,Pier 15,/pier-15.php,pier 15 | pier 15 replat 1 | pier 15 replat 1 lot 2 block 0 lot 2 8068 sq ft | pier 15 replat 1 lot 5 block 0 lot 5 7717 sq ft,,48,14/17/8/9,3
chalco-pointe,Chalco Pointe,/chalco-pointe.php,chalco pointe,,48,18/9/7/14,0
lincoln-way,Lincoln Way,/lincoln-way.php,lincoln way,,48,17/14/9/8,0
kingsbury-hills,Kingsbury Hills,/kingsbury-hills.php,kingsbury hills | kingsbury hills replat one,,48,18/8/12/10,1
glenwood-hills,Glenwood Hills,/glenwood-hills.php,glenwood hills | glenwood hills replat ii,,47,14/3/12/18,1
fire-ridge-estates,Fire Ridge Estates,/fire-ridge-estates.php,fire ridge estates,,47,15/7/15/10,0
center-park,Center Park,/center-park.php,center park | center park replat,,47,12/8/16/11,1
bent-creek,Bent Creek,/bent-creek.php,bent creek,,47,12/10/18/7,0
arbor-oaks,Arbor Oaks,/arbor-oaks.php,arbor oaks | arbor oaks lot 151 block 0 irreg | arbor oaks replat one,,47,10/12/9/16,2
tiburon-ridge-north,Tiburon Ridge North,/tiburon-ridge-north.php,tiburon ridge north,,46,0/20/20/6,0
cloverdale,Cloverdale,/cloverdale.php,cloverdale | cloverdale lot | cloverdale lot 16 block 12,,46,14/9/8/15,2
montclair,Montclair,/montclair.php,montclair | montclair add | montclair addition,,46,13/14/10/9,2
windgate-ranch,Windgate Ranch,/windgate-ranch.php,windgate ranch | windgate ranch 2 | windgate ranch ii,,46,13/7/13/13,2
west-side,West Side,/west-side.php,west side | west side add | west side add lot 12 block 11 | west side addition,,45,12/10/7/16,3
mapleview,MapleView,/mapleview.php,mapleview | mapleview add | mapleview addition,,45,13/17/6/9,2
